INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT
16;10.01.2017 0:00:00;1;530000;36494
17;10.01.2017 0:00:00;1;530000;36738
18;10.01.2017 0:00:00;1;530000;36415
19;10.01.2017 0:00:00;1;530000;35532
20;10.01.2017 0:00:00;1;530000;34885
21;10.01.2017 0:00:00;1;530000;33543
22;10.01.2017 0:00:00;1;530000;31488
23;10.01.2017 0:00:00;1;530000;29539
0;11.01.2017 0:00:00;1;530000;28386
1;11.01.2017 0:00:00;1;530000;27541
2;11.01.2017 0:00:00;1;530000;27316
3;11.01.2017 0:00:00;1;530000;27037
4;11.01.2017 0:00:00;1;530000;27479
5;11.01.2017 0:00:00;1;530000;28577
6;11.01.2017 0:00:00;1;530000;30967
7;11.01.2017 0:00:00;1;530000;33202
8;11.01.2017 0:00:00;1;530000;34858
9;11.01.2017 0:00:00;1;530000;35503
10;11.01.2017 0:00:00;1;530000;35459
11;11.01.2017 0:00:00;1;530000;34999
12;11.01.2017 0:00:00;1;530000;34659
13;11.01.2017 0:00:00;1;530000;34890
14;11.01.2017 0:00:00;1;530000;34853
15;11.01.2017 0:00:00;1;530000;34868
16;11.01.2017 0:00:00;1;530000;36035
17;11.01.2017 0:00:00;1;530000;36414
18;11.01.2017 0:00:00;1;530000;36190
19;11.01.2017 0:00:00;1;530000;35325
20;11.01.2017 0:00:00;1;530000;34752
21;11.01.2017 0:00:00;1;530000;33552
22;11.01.2017 0:00:00;1;530000;31356
23;11.01.2017 0:00:00;1;530000;29602
0;12.01.2017 0:00:00;1;530000;28333
1;12.01.2017 0:00:00;1;530000;27622
2;12.01.2017 0:00:00;1;530000;26953
3;12.01.2017 0:00:00;1;530000;27169
4;12.01.2017 0:00:00;1;530000;27493
5;12.01.2017 0:00:00;1;530000;28603
6;12.01.2017 0:00:00;1;530000;31120
7;12.01.2017 0:00:00;1;530000;33325
8;12.01.2017 0:00:00;1;530000;35012
9;12.01.2017 0:00:00;1;530000;35880
10;12.01.2017 0:00:00;1;530000;36023
11;12.01.2017 0:00:00;1;530000;35359
12;12.01.2017 0:00:00;1;530000;35284
13;12.01.2017 0:00:00;1;530000;35400
14;12.01.2017 0:00:00;1;530000;35313
15;12.01.2017 0:00:00;1;530000;35154
16;12.01.2017 0:00:00;1;530000;36133
17;12.01.2017 0:00:00;1;530000;36388
18;12.01.2017 0:00:00;1;530000;35979
19;12.01.2017 0:00:00;1;530000;35192
20;12.01.2017 0:00:00;1;530000;34292
21;12.01.2017 0:00:00;1;530000;33110
22;12.01.2017 0:00:00;1;530000;31058
23;12.01.2017 0:00:00;1;530000;29196
0;13.01.2017 0:00:00;1;530000;28023
1;13.01.2017 0:00:00;1;530000;27132
2;13.01.2017 0:00:00;1;530000;26666
3;13.01.2017 0:00:00;1;530000;26736
4;13.01.2017 0:00:00;1;530000;26958
5;13.01.2017 0:00:00;1;530000;28077
6;13.01.2017 0:00:00;1;530000;30317
7;13.01.2017 0:00:00;1;530000;32559
8;13.01.2017 0:00:00;1;530000;33862
9;13.01.2017 0:00:00;1;530000;34771
10;13.01.2017 0:00:00;1;530000;34844
11;13.01.2017 0:00:00;1;530000;34213
12;13.01.2017 0:00:00;1;530000;33951
13;13.01.2017 0:00:00;1;530000;34333
14;13.01.2017 0:00:00;1;530000;34129
15;13.01.2017 0:00:00;1;530000;33987
16;13.01.2017 0:00:00;1;530000;34973
17;13.01.2017 0:00:00;1;530000;35470
18;13.01.2017 0:00:00;1;530000;35030
19;13.01.2017 0:00:00;1;530000;34072
20;13.01.2017 0:00:00;1;530000;33499
21;13.01.2017 0:00:00;1;530000;32536
22;13.01.2017 0:00:00;1;530000;30744
23;13.01.2017 0:00:00;1;530000;29131
0;14.01.2017 0:00:00;1;530000;27857
1;14.01.2017 0:00:00;1;530000;26822
2;14.01.2017 0:00:00;1;530000;26372
3;14.01.2017 0:00:00;1;530000;26114
4;14.01.2017 0:00:00;1;530000;26245
5;14.01.2017 0:00:00;1;530000;26811
6;14.01.2017 0:00:00;1;530000;27882
7;14.01.2017 0:00:00;1;530000;28803
8;14.01.2017 0:00:00;1;530000;29911
9;14.01.2017 0:00:00;1;530000;31073
10;14.01.2017 0:00:00;1;530000;31631
11;14.01.2017 0:00:00;1;530000;31611
12;14.01.2017 0:00:00;1;530000;31642
13;14.01.2017 0:00:00;1;530000;31605
14;14.01.2017 0:00:00;1;530000;31387
15;14.01.2017 0:00:00;1;530000;31369
16;14.01.2017 0:00:00;1;530000;33014
17;14.01.2017 0:00:00;1;530000;33495
18;14.01.2017 0:00:00;1;530000;33304
19;14.01.2017 0:00:00;1;530000;32407
20;14.01.2017 0:00:00;1;530000;32202
21;14.01.2017 0:00:00;1;530000;31324
22;14.01.2017 0:00:00;1;530000;29922
23;14.01.2017 0:00:00;1;530000;28586
0;15.01.2017 0:00:00;1;530000;27244
1;15.01.2017 0:00:00;1;530000;26332
2;15.01.2017 0:00:00;1;530000;25953
3;15.01.2017 0:00:00;1;530000;25621
4;15.01.2017 0:00:00;1;530000;25704
5;15.01.2017 0:00:00;1;530000;26276
6;15.01.2017 0:00:00;1;530000;26908
7;15.01.2017 0:00:00;1;530000;27538
8;15.01.2017 0:00:00;1;530000;28633
9;15.01.2017 0:00:00;1;530000;29881
10;15.01.2017 0:00:00;1;530000;30506
11;15.01.2017 0:00:00;1;530000;30727
12;15.01.2017 0:00:00;1;530000;31090
13;15.01.2017 0:00:00;1;530000;30796
14;15.01.2017 0:00:00;1;530000;30777
15;15.01.2017 0:00:00;1;530000;31352
16;15.01.2017 0:00:00;1;530000;32640
17;15.01.2017 0:00:00;1;530000;33220
18;15.01.2017 0:00:00;1;530000;33119
19;15.01.2017 0:00:00;1;530000;32559
20;15.01.2017 0:00:00;1;530000;32189
21;15.01.2017 0:00:00;1;530000;31074
22;15.01.2017 0:00:00;1;530000;29359
23;15.01.2017 0:00:00;1;530000;27777
0;16.01.2017 0:00:00;1;530000;26636
1;16.01.2017 0:00:00;1;530000;25646
2;16.01.2017 0:00:00;1;530000;25388
3;16.01.2017 0:00:00;1;530000;25215
4;16.01.2017 0:00:00;1;530000;25628
5;16.01.2017 0:00:00;1;530000;27061
6;16.01.2017 0:00:00;1;530000;29473
7;16.01.2017 0:00:00;1;530000;31505
8;16.01.2017 0:00:00;1;530000;33083
9;16.01.2017 0:00:00;1;530000;33682
10;16.01.2017 0:00:00;1;530000;33635
11;16.01.2017 0:00:00;1;530000;33317
12;16.01.2017 0:00:00;1;530000;33098
13;16.01.2017 0:00:00;1;530000;33344
14;16.01.2017 0:00:00;1;530000;33255
15;16.01.2017 0:00:00;1;530000;33340
16;16.01.2017 0:00:00;1;530000;33923
17;16.01.2017 0:00:00;1;530000;34595
18;16.01.2017 0:00:00;1;530000;34390
19;16.01.2017 0:00:00;1;530000;33577
20;16.01.2017 0:00:00;1;530000;32882
21;16.01.2017 0:00:00;1;530000;31552
22;16.01.2017 0:00:00;1;530000;29780
23;16.01.2017 0:00:00;1;530000;27991
0;17.01.2017 0:00:00;1;530000;26732
1;17.01.2017 0:00:00;1;530000;26242
2;17.01.2017 0:00:00;1;530000;25830
3;17.01.2017 0:00:00;1;530000;25844
4;17.01.2017 0:00:00;1;530000;25860
5;17.01.2017 0:00:00;1;530000;27317
6;17.01.2017 0:00:00;1;530000;29644
7;17.01.2017 0:00:00;1;530000;31992
8;17.01.2017 0:00:00;1;530000;33449
9;17.01.2017 0:00:00;1;530000;34015
10;17.01.2017 0:00:00;1;530000;33888
11;17.01.2017 0:00:00;1;530000;33390
12;17.01.2017 0:00:00;1;530000;32968
13;17.01.2017 0:00:00;1;530000;33273
14;17.01.2017 0:00:00;1;530000;33062
15;17.01.2017 0:00:00;1;530000;33151
16;17.01.2017 0:00:00;1;530000;34038
17;17.01.2017 0:00:00;1;530000;34910
18;17.01.2017 0:00:00;1;530000;34685
19;17.01.2017 0:00:00;1;530000;33921
20;17.01.2017 0:00:00;1;530000;33385
21;17.01.2017 0:00:00;1;530000;31871
22;17.01.2017 0:00:00;1;530000;30048
23;17.01.2017 0:00:00;1;530000;28245
0;18.01.2017 0:00:00;1;530000;26834
1;18.01.2017 0:00:00;1;530000;26368
2;18.01.2017 0:00:00;1;530000;25972
3;18.01.2017 0:00:00;1;530000;25860
4;18.01.2017 0:00:00;1;530000;26353
5;18.01.2017 0:00:00;1;530000;27611
6;18.01.2017 0:00:00;1;530000;29958
7;18.01.2017 0:00:00;1;530000;32073
8;18.01.2017 0:00:00;1;530000;33533
9;18.01.2017 0:00:00;1;530000;34152
10;18.01.2017 0:00:00;1;530000;34093
11;18.01.2017 0:00:00;1;530000;33348
12;18.01.2017 0:00:00;1;530000;33225
13;18.01.2017 0:00:00;1;530000;33405
14;18.01.2017 0:00:00;1;530000;33230
15;18.01.2017 0:00:00;1;530000;33352
16;18.01.2017 0:00:00;1;530000;34086
17;18.01.2017 0:00:00;1;530000;34942
18;18.01.2017 0:00:00;1;530000;34785
19;18.01.2017 0:00:00;1;530000;33927
20;18.01.2017 0:00:00;1;530000;33437
21;18.01.2017 0:00:00;1;530000;32133
22;18.01.2017 0:00:00;1;530000;30148
23;18.01.2017 0:00:00;1;530000;28678
0;19.01.2017 0:00:00;1;530000;27337
1;19.01.2017 0:00:00;1;530000;26557
2;19.01.2017 0:00:00;1;530000;26140
3;19.01.2017 0:00:00;1;530000;25997
4;19.01.2017 0:00:00;1;530000;26258
5;19.01.2017 0:00:00;1;530000;27659
6;19.01.2017 0:00:00;1;530000;30101
7;19.01.2017 0:00:00;1;530000;32140
8;19.01.2017 0:00:00;1;530000;33707
9;19.01.2017 0:00:00;1;530000;34180
10;19.01.2017 0:00:00;1;530000;34052
11;19.01.2017 0:00:00;1;530000;33640
12;19.01.2017 0:00:00;1;530000;33445
13;19.01.2017 0:00:00;1;530000;33693
14;19.01.2017 0:00:00;1;530000;33557
15;19.01.2017 0:00:00;1;530000;33900
16;19.01.2017 0:00:00;1;530000;34386
17;19.01.2017 0:00:00;1;530000;35184
18;19.01.2017 0:00:00;1;530000;34844
19;19.01.2017 0:00:00;1;530000;33967
20;19.01.2017 0:00:00;1;530000;33498
21;19.01.2017 0:00:00;1;530000;32121
22;19.01.2017 0:00:00;1;530000;30074
23;19.01.2017 0:00:00;1;530000;28357
0;20.01.2017 0:00:00;1;530000;27167
1;20.01.2017 0:00:00;1;530000;26140
2;20.01.2017 0:00:00;1;530000;25867
3;20.01.2017 0:00:00;1;530000;25908
4;20.01.2017 0:00:00;1;530000;26266
5;20.01.2017 0:00:00;1;530000;27416
6;20.01.2017 0:00:00;1;530000;29728
7;20.01.2017 0:00:00;1;530000;31796
8;20.01.2017 0:00:00;1;530000;33249
9;20.01.2017 0:00:00;1;530000;34070
10;20.01.2017 0:00:00;1;530000;33741
11;20.01.2017 0:00:00;1;530000;33217
12;20.01.2017 0:00:00;1;530000;33305
13;20.01.2017 0:00:00;1;530000;33137
14;20.01.2017 0:00:00;1;530000;33097
15;20.01.2017 0:00:00;1;530000;33122
16;20.01.2017 0:00:00;1;530000;33399
17;20.01.2017 0:00:00;1;530000;34773
18;20.01.2017 0:00:00;1;530000;34585
19;20.01.2017 0:00:00;1;530000;33614
20;20.01.2017 0:00:00;1;530000;33058
21;20.01.2017 0:00:00;1;530000;31900
22;20.01.2017 0:00:00;1;530000;30116
23;20.01.2017 0:00:00;1;530000;28443
0;21.01.2017 0:00:00;1;530000;27415
1;21.01.2017 0:00:00;1;530000;26302
2;21.01.2017 0:00:00;1;530000;26004
3;21.01.2017 0:00:00;1;530000;25835
4;21.01.2017 0:00:00;1;530000;25871
5;21.01.2017 0:00:00;1;530000;26310
6;21.01.2017 0:00:00;1;530000;27318
7;21.01.2017 0:00:00;1;530000;28423
8;21.01.2017 0:00:00;1;530000;29769
9;21.01.2017 0:00:00;1;530000;30857
10;21.01.2017 0:00:00;1;530000;31049
11;21.01.2017 0:00:00;1;530000;31089
12;21.01.2017 0:00:00;1;530000;30930
13;21.01.2017 0:00:00;1;530000;30942
14;21.01.2017 0:00:00;1;530000;30608
15;21.01.2017 0:00:00;1;530000;31144
16;21.01.2017 0:00:00;1;530000;32160
17;21.01.2017 0:00:00;1;530000;33301
18;21.01.2017 0:00:00;1;530000;32984
19;21.01.2017 0:00:00;1;530000;32286
20;21.01.2017 0:00:00;1;530000;31970
21;21.01.2017 0:00:00;1;530000;30984
22;21.01.2017 0:00:00;1;530000;29416
23;21.01.2017 0:00:00;1;530000;28245
0;22.01.2017 0:00:00;1;530000;26878
1;22.01.2017 0:00:00;1;530000;25855
2;22.01.2017 0:00:00;1;530000;25671
3;22.01.2017 0:00:00;1;530000;25408
4;22.01.2017 0:00:00;1;530000;25563
5;22.01.2017 0:00:00;1;530000;26076
6;22.01.2017 0:00:00;1;530000;27008
7;22.01.2017 0:00:00;1;530000;27558
8;22.01.2017 0:00:00;1;530000;28812
9;22.01.2017 0:00:00;1;530000;29876
10;22.01.2017 0:00:00;1;530000;30722
11;22.01.2017 0:00:00;1;530000;30698
12;22.01.2017 0:00:00;1;530000;30510
13;22.01.2017 0:00:00;1;530000;30493
14;22.01.2017 0:00:00;1;530000;30619
15;22.01.2017 0:00:00;1;530000;30807
16;22.01.2017 0:00:00;1;530000;31989
17;22.01.2017 0:00:00;1;530000;33282
18;22.01.2017 0:00:00;1;530000;33273
19;22.01.2017 0:00:00;1;530000;32499
20;22.01.2017 0:00:00;1;530000;32130
21;22.01.2017 0:00:00;1;530000;30970
22;22.01.2017 0:00:00;1;530000;29103
23;22.01.2017 0:00:00;1;530000;27565
0;23.01.2017 0:00:00;1;530000;26525
1;23.01.2017 0:00:00;1;530000;25734
2;23.01.2017 0:00:00;1;530000;25392
3;23.01.2017 0:00:00;1;530000;25364
4;23.01.2017 0:00:00;1;530000;25784
5;23.01.2017 0:00:00;1;530000;27087
6;23.01.2017 0:00:00;1;530000;29671
7;23.01.2017 0:00:00;1;530000;31705
8;23.01.2017 0:00:00;1;530000;33046
9;23.01.2017 0:00:00;1;530000;33704
10;23.01.2017 0:00:00;1;530000;33695
11;23.01.2017 0:00:00;1;530000;33310
12;23.01.2017 0:00:00;1;530000;32962
13;23.01.2017 0:00:00;1;530000;33043
14;23.01.2017 0:00:00;1;530000;32905
15;23.01.2017 0:00:00;1;530000;32819
16;23.01.2017 0:00:00;1;530000;33579
17;23.01.2017 0:00:00;1;530000;34526
18;23.01.2017 0:00:00;1;530000;34142
19;23.01.2017 0:00:00;1;530000;33340
20;23.01.2017 0:00:00;1;530000;32798
21;23.01.2017 0:00:00;1;530000;31365
22;23.01.2017 0:00:00;1;530000;29363
23;23.01.2017 0:00:00;1;530000;27591
0;24.01.2017 0:00:00;1;530000;26467
1;24.01.2017 0:00:00;1;530000;25794
2;24.01.2017 0:00:00;1;530000;25499
3;24.01.2017 0:00:00;1;530000;25490
4;24.01.2017 0:00:00;1;530000;25812
5;24.01.2017 0:00:00;1;530000;26999
6;24.01.2017 0:00:00;1;530000;29478
7;24.01.2017 0:00:00;1;530000;31410
8;24.01.2017 0:00:00;1;530000;32857
9;24.01.2017 0:00:00;1;530000;33420
10;24.01.2017 0:00:00;1;530000;33181
11;24.01.2017 0:00:00;1;530000;32900
12;24.01.2017 0:00:00;1;530000;32859
13;24.01.2017 0:00:00;1;530000;33171
14;24.01.2017 0:00:00;1;530000;33101
15;24.01.2017 0:00:00;1;530000;32954
16;24.01.2017 0:00:00;1;530000;33501
17;24.01.2017 0:00:00;1;530000;34531
18;24.01.2017 0:00:00;1;530000;34213
19;24.01.2017 0:00:00;1;530000;33356
20;24.01.2017 0:00:00;1;530000;32900
21;24.01.2017 0:00:00;1;530000;31642
22;24.01.2017 0:00:00;1;530000;29456
23;24.01.2017 0:00:00;1;530000;27925
0;25.01.2017 0:00:00;1;530000;26910
1;25.01.2017 0:00:00;1;530000;26162
2;25.01.2017 0:00:00;1;530000;25775
3;25.01.2017 0:00:00;1;530000;25885
4;25.01.2017 0:00:00;1;530000;26062
5;25.01.2017 0:00:00;1;530000;27474
6;25.01.2017 0:00:00;1;530000;29719
7;25.01.2017 0:00:00;1;530000;32060
8;25.01.2017 0:00:00;1;530000;33417
9;25.01.2017 0:00:00;1;530000;34206
10;25.01.2017 0:00:00;1;530000;34059
11;25.01.2017 0:00:00;1;530000;33693
12;25.01.2017 0:00:00;1;530000;33542
13;25.01.2017 0:00:00;1;530000;33572
14;25.01.2017 0:00:00;1;530000;33537
15;25.01.2017 0:00:00;1;530000;33600
16;25.01.2017 0:00:00;1;530000;34114
17;25.01.2017 0:00:00;1;530000;35636
18;25.01.2017 0:00:00;1;530000;35423
19;25.01.2017 0:00:00;1;530000;34728
20;25.01.2017 0:00:00;1;530000;34114
21;25.01.2017 0:00:00;1;530000;32802
22;25.01.2017 0:00:00;1;530000;31006
23;25.01.2017 0:00:00;1;530000;29147
0;26.01.2017 0:00:00;1;530000;28142
1;26.01.2017 0:00:00;1;530000;27401
